Number;Pass;;
1;41972194;;
2;42054796;;
3;42054796;;
4;47112397;;
5;49118248;;
6;52880510;;
7;55664750;;
8;57723208;;
9;47035464;;
10;49263120;;
11;43937074;;
12;48539606;;
13;45850623;;
14;42838949;;
15;53620994;;
16;49282817;;
17;51191842;;
18;54707221;;
19;57995025;;
20;59715433;;
21;49418190;;
22;51058879;;
23;47056048;;
24;49654209;;
25;46514139;;
26;43769273;;
27;53361926;;
28;51968040;;
29;53515798;;
30;56459994;;
31;59939170;;
32;59926709;;
33;48751280;;
34;52578217;;
35;48734375;;
36;50208641;;
37;47988560;;
38;45241211;;
39;56555731;;
40;53920855;;
41;54674958;;
42;59213000;;
43;63572248;;
44;63003663;;
45;53131972;;
46;56653901;;
47;53215500;;
48;51746821;;
49;49045412;;
50;49306303;;
51;60443541;;
52;58286680;;
53;60533783;;
54;64903295;;
55;67346377;;
56;66256804;;
57;55900504;;
58;58373996;;
59;55590325;;
60;54822970;;
61;52634354;;
62;49532578;;
63;61575055;;
64;59151645;;
65;59662416;;
66;64353323;;
67;67965241;;
68;68376612;;
69;38601717;;
70;43964770;;
71;44915764;;
72;47819118;;
73;46224031;;
74;44604154;;
75;56897722;;
76;52542164;;
77;55116060;;
78;59745334;;
79;62664504;;
80;62944802;;
81;49096033;;
82;54019748;;
83;50105232;;
84;56656594;;
85;51197175;;
86;47040806;;
87;56765848;;
88;51857179;;
89;54335598;;
90;60272900;;
91;65962215;;
92;64989766;;
93;52121480;;
94;56724442;;
95;54128776;;
96;58739845;;
97;53979780;;
98;53179685;;
99;64035863;;
100;62340117;;
101;62530704;;
102;68866389;;
103;73335888;;
104;70961513;;
105;57881031;;
106;63021122;;
107;59453941;;
108;62680310;;
109;59629608;;
110;55795165;;
111;70595861;;
112;65145550;;
113;68268899;;
114;72952958;;
115;77432998;;
116;73778917;;
117;62046797;;
118;63640895;;
119;61518984;;
120;64289340;;
121;61035027;;
122;56729212;;
123;70799794;;
124;68120558;;
125;69352605;;
126;74085927;;
127;77798585;;
128;74227040;;
129;62345732;;
130;66082158;;
131;63548729;;
132;65980779;;
133;63016013;;
134;57793832;;
135;72700241;;
136;69836156;;
137;71933109;;
138;76926452;;
139;80988340;;
140;79439827;;
141;65913298;;
142;69445349;;
143;66250428;;
144;67782533;;
145;64667106;;
146;61504426;;
147;74575531;;
148;68906881;;
149;72725749;;
150;76162104;;
151;79707545;;
152;77300569;;
153;61198749;;
154;65018204;;
155;58512623;;
156;63503416;;
157;58373783;;
158;53506580;;
159;66027341;;
160;65166298;;
161;65868253;;
162;71350226;;
163;77136797;;
164;74614770;;
165;61435354;;
166;64274739;;
167;59011015;;
168;63231672;;
169;59651061;;
170;53240065;;
171;68307089;;
172;64953249;;
173;68850904;;
174;74474550;;
175;79304441;;
176;76741308;;
177;65341294;;
178;69071625;;
179;63334290;;
180;65797939;;
181;61630362;;
182;55391206;;
183;70158268;;
184;67683558;;
185;71711447;;
186;76057910;;
187;81423214;;
188;77247930;;
189;66345278;;
190;68177875;;
191;63491903;;
192;66595168;;
193;61940180;;
194;58243758;;
195;71696037;;
196;68668204;;
197;71887509;;
198;76760752;;
199;80499353;;
200;77945138;;
